x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0e-5,0.0001,0.0,0.0,2.0e-5,2.0e-5,0.0,0.0,4.0e-5,4.0e-5,2.0e-5,6.0e-5,0.0,8.0e-5,4.0e-5,4.0e-5,6.0e-5,8.0e-5,6.0e-5,4.0e-5,6.0e-5,4.0e-5
0.0,2.0e-5,0.00024,0.00038,0.0,0.0,0.00012,0.00026,0.0,8.0e-5,0.00014,0.0003,6.0e-5,6.0e-5,0.00022,0.00024,0.00028,0.0004,0.0004,0.00028,0.00038,0.0002,0.00042,0.00042
0.0,0.0001,0.00076,0.0013,0.0,0.0001,0.00106,0.0012,2.0e-5,0.00012,0.00112,0.0012,0.00028,0.00056,0.00112,0.00118,0.0011,0.00108,0.00112,0.00158,0.00188,0.00156,0.00188,0.00144
2.0e-5,0.00038,0.00224,0.0036,0.0,0.00058,0.00216,0.00332,4.0e-5,0.00066,0.0024,0.00352,0.0012,0.00178,0.00344,0.00386,0.00344,0.0041,0.00422,0.0047,0.00454,0.0047,0.00486,0.00484
0.0,0.00104,0.00548,0.00794,4.0e-5,0.00124,0.00546,0.00934,0.00026,0.00174,0.0063,0.0088,0.0036,0.0051,0.00718,0.0096,0.00914,0.00964,0.0101,0.01132,0.01246,0.01232,0.0123,0.01258
8.0e-5,0.0033,0.0125,0.01814,8.0e-5,0.00282,0.01272,0.0179,0.0004,0.00376,0.01308,0.01866,0.0078,0.0114,0.0156,0.02016,0.02122,0.02186,0.02212,0.02262,0.02482,0.02486,0.02494,0.0259
8.0e-5,0.00582,0.0225,0.0304,0.0001,0.00596,0.02302,0.03332,0.00082,0.00742,0.02206,0.03358,0.01646,0.02004,0.02882,0.03374,0.03684,0.03764,0.03864,0.04024,0.04292,0.04304,0.04314,0.04306
0.00012,0.00986,0.03606,0.05114,0.00028,0.0113,0.03686,0.05044,0.00168,0.01352,0.03608,0.05044,0.02774,0.03722,0.04528,0.05338,0.06068,0.06134,0.0607,0.06276,0.06402,0.06516,0.06736,0.06732
0.00026,0.01712,0.05268,0.07058,0.00056,0.01744,0.05384,0.07044,0.00308,0.0216,0.05546,0.06984,0.04838,0.05374,0.06654,0.07508,0.0812,0.08256,0.08226,0.08208,0.08848,0.08518,0.08794,0.08632
0.00056,0.02466,0.07028,0.0874,0.00104,0.02674,0.07,0.08668,0.00522,0.03218,0.07344,0.08606,0.0686,0.07298,0.08508,0.0935,0.10432,0.1029,0.10202,0.10278,0.1055,0.10336,0.10404,0.1056
0.00122,0.0353,0.08542,0.10192,0.00186,0.03478,0.08796,0.10372,0.00864,0.0454,0.08908,0.10268,0.08454,0.09182,0.09966,0.10446,0.11164,0.11432,0.11548,0.11144,0.11304,0.11298,0.11126,0.11276
0.0017,0.04584,0.09862,0.10974,0.00282,0.04792,0.09634,0.10714,0.01394,0.05666,0.09768,0.10838,0.10308,0.10386,0.1089,0.1111,0.1164,0.1166,0.1148,0.11526,0.11534,0.11346,0.1171,0.11308
0.00208,0.05594,0.10102,0.1058,0.00418,0.05798,0.0984,0.10496,0.0191,0.06556,0.10298,0.1063,0.10864,0.10752,0.10556,0.1062,0.10918,0.1091,0.10842,0.10758,0.10324,0.10758,0.10376,0.10582
0.0035,0.06438,0.0996,0.09592,0.00608,0.06754,0.0992,0.09548,0.02618,0.0779,0.0985,0.09908,0.1087,0.10678,0.10258,0.09696,0.0959,0.0945,0.0949,0.09424,0.09126,0.09254,0.0908,0.0907
0.00456,0.07156,0.09036,0.08462,0.00764,0.07198,0.09066,0.0838,0.03366,0.08132,0.09006,0.0836,0.10114,0.097,0.08714,0.0841,0.07594,0.07618,0.07762,0.0739,0.07312,0.07384,0.0731,0.0735
0.00652,0.07764,0.08156,0.06736,0.00994,0.07992,0.08094,0.06874,0.04104,0.08698,0.07832,0.06532,0.08682,0.08218,0.0739,0.06418,0.05934,0.05568,0.05846,0.05878,0.05576,0.05656,0.05496,0.05358
0.00914,0.0787,0.06632,0.0533,0.0134,0.07768,0.06668,0.05392,0.04912,0.0848,0.06458,0.05188,0.07076,0.0646,0.05794,0.04958,0.04258,0.0424,0.04138,0.0416,0.0376,0.04008,0.03888,0.03934
0.01142,0.07864,0.05112,0.03896,0.01754,0.07608,0.05116,0.0374,0.0558,0.07886,0.05006,0.03802,0.05478,0.0489,0.0395,0.03488,0.0281,0.02812,0.02566,0.02806,0.02754,0.0256,0.0269,0.02558
0.01366,0.07228,0.0391,0.02634,0.0204,0.07218,0.03914,0.02696,0.0657,0.07134,0.03966,0.02708,0.04058,0.03626,0.02766,0.02302,0.0184,0.0181,0.01732,0.01704,0.01702,0.01592,0.01534,0.01704
0.01716,0.06762,0.02856,0.01832,0.02412,0.066,0.02842,0.01784,0.06714,0.0603,0.02728,0.0183,0.0266,0.0236,0.01764,0.01442,0.01072,0.00968,0.01154,0.01078,0.00998,0.00894,0.0089,0.00942
0.02036,0.05782,0.0198,0.01052,0.02958,0.05876,0.0206,0.01088,0.06896,0.05092,0.01896,0.01082,0.01712,0.01506,0.01128,0.00944,0.00648,0.00624,0.00578,0.00614,0.00542,0.00598,0.0059,0.00554
0.02096,0.04984,0.0134,0.00722,0.03148,0.0488,0.0137,0.00714,0.07,0.04104,0.01214,0.00704,0.00992,0.00898,0.00658,0.00478,0.00344,0.00368,0.00344,0.00354,0.00276,0.0029,0.00296,0.00322
0.02558,0.04258,0.00788,0.00396,0.0348,0.04208,0.00802,0.0037,0.0663,0.03296,0.00832,0.00424,0.0061,0.00482,0.004,0.00274,0.0018,0.00176,0.00182,0.00156,0.00144,0.00168,0.0016,0.00132
0.03074,0.03416,0.00582,0.00222,0.03992,0.03274,0.00604,0.00256,0.06528,0.0257,0.00514,0.00234,0.00374,0.00282,0.0023,0.00182,0.00088,0.00094,0.00092,0.0008,0.00074,0.00076,0.00086,0.00076
0.03176,0.0277,0.00386,0.00154,0.04332,0.02582,0.00328,0.00138,0.05956,0.018,0.00316,0.00114,0.00162,0.00156,0.00106,0.00074,0.00058,0.00068,0.00044,0.00038,0.00038,0.00044,0.00036,0.00046
0.03518,0.02164,0.0023,0.00066,0.04554,0.02068,0.0019,0.00068,0.05324,0.01354,0.00194,0.00064,0.00102,0.0007,0.00052,0.00042,0.0002,0.00026,0.00028,0.0002,0.00018,0.0002,0.0002,0.0003
0.03648,0.0154,0.00106,0.00034,0.04536,0.01516,0.00094,0.00038,0.0467,0.00936,0.001,0.00042,0.0005,0.00044,0.0003,0.00022,6.0e-5,0.00012,8.0e-5,0.0002,2.0e-5,6.0e-5,0.00012,4.0e-5
0.03958,0.0122,0.00062,0.00012,0.05018,0.0114,0.00062,0.00018,0.03998,0.00608,0.0005,0.0001,0.00012,0.0001,0.0001,4.0e-5,0.0001,8.0e-5,2.0e-5,4.0e-5,6.0e-5,4.0e-5,2.0e-5,0.0
0.04244,0.00886,0.00036,8.0e-5,0.04752,0.0083,0.00042,0.00012,0.03156,0.00418,0.00028,0.00016,6.0e-5,2.0e-5,8.0e-5,4.0e-5,0.0,0.0,0.0,0.0,2.0e-5,2.0e-5,2.0e-5,2.0e-5
0.04068,0.00614,0.00018,4.0e-5,0.048,0.00568,0.00014,2.0e-5,0.02714,0.003,0.0001,2.0e-5,0.0,2.0e-5,2.0e-5,2.0e-5,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0
0.04202,0.00464,8.0e-5,2.0e-5,0.04656,0.00376,0.0001,6.0e-5,0.02136,0.002,4.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0e-5,0.0
0.0418,0.0029,8.0e-5,2.0e-5,0.04328,0.00278,2.0e-5,2.0e-5,0.01566,0.00122,6.0e-5,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0
0.04098,0.00212,8.0e-5,0.0,0.04292,0.00204,6.0e-5,0.0,0.01166,0.00054,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04218,0.00132,0.0,0.0,0.03948,0.00118,0.0,0.0,0.00892,0.00058,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04008,0.00092,0.0,0.0,0.037,0.001,0.0,0.0,0.00684,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03748,0.00074,0.0,0.0,0.0351,0.0006,0.0,0.0,0.00482,0.00016,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03596,0.00028,0.0,0.0,0.03104,0.00034,0.0,0.0,0.00322,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03528,0.00026,0.0,0.0,0.02822,0.00026,0.0,0.0,0.00238,8.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03002,0.0001,0.0,0.0,0.02534,0.00022,0.0,0.0,0.00142,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0299,4.0e-5,0.0,0.0,0.0228,4.0e-5,0.0,0.0,0.001,4.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02744,8.0e-5,0.0,0.0,0.02012,8.0e-5,0.0,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02362,2.0e-5,0.0,0.0,0.01668,2.0e-5,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02342,2.0e-5,0.0,0.0,0.01538,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0201,0.0,0.0,0.0,0.01236,0.0,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01902,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01644,2.0e-5,0.0,0.0,0.00878,2.0e-5,0.0,0.0,8.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01456,0.0,0.0,0.0,0.00772,0.0,0.0,0.0,6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01178,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,4.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01026,0.0,0.0,0.0,0.00482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0094,0.0,0.0,0.0,0.00394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0088,0.0,0.0,0.0,0.00308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00734,0.0,0.0,0.0,0.00252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00608,0.0,0.0,0.0,0.00222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00528,0.0,0.0,0.0,0.00214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00438,0.0,0.0,0.0,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00394,0.0,0.0,0.0,0.00114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00284,0.0,0.0,0.0,0.00074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.0,0.0,0.0,0.00058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00178,0.0,0.0,0.0,0.00066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00178,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00138,0.0,0.0,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00098,0.0,0.0,0.0,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00078,0.0,0.0,0.0,6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00044,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00066,0.0,0.0,0.0,8.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00056,0.0,0.0,0.0,6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00042,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00016,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
