x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,,,
0.02853648,0.03710836,0.02738977,0.02630156,0.02395174,0.02267826,0.0282,0.0282,0.0282,0.0282,,,,
3.362021,2.332905,3.431339,3.961847,4.201979,4.39961313,3.46,3.46,3.46,3.46,,,,
0.40150109,0.82035024,0.44335241,0.05479535,0.0955047,0.1948852,0.323,0.323,0.323,0.323,,,,
1,,,,,2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,starting,,,,,,,starting,,,,,
a,0.027880519,0.027540706,0.023121816,0.030558263,0.027817351,0.044748982,,0.0282,0.0282,0.0282,0.033614499,0.050645407,0.0282
b,3.92167491,3.562793901,4.427206771,3.098644292,3.491183041,1.927146707,,3.46,3.46,3.46,2.799691913,1.692391293,3.46
Attribute,0.323,0.188790479,0.101343883,0.549249291,0.054463293,0.905305005,,0.323,0.323,0.323,0.423371318,0.93671011,0.323
Erlang,,16,21,5,25,1,,,10,10,7,1,10
,,7.5,5.714285714,24,4.8,120,,,12,12,17.14285714,120,12
var,,900,685.7142857,2880,576,14400,,,1440,1440,2057.142857,14400,1440
fitness(mse),,2.45E-06,4.35E-06,4.20E-06,3.49E-06,2.02E-06,,,3.01E-06,3.01E-06,2.78E-06,2.48E-06,3.01E-06
,,,,,,,,,,,,,
,,,,,,,,,,,,,
a,0.027880519,0.026648594,0.024771664,0.043129458,0.024711636,0.021852863,,0.0282,0.028451445,0.025922478,0.022695635,0.028980184,0.029788933
b,3.92167491,3.496795448,3.639998252,1.92340397,3.480210373,4.503422836,,3.46,2.998783549,3.545677772,4.419105885,3.164427544,3.198321239
Attribute,0.323,0.527641794,0.569539803,0.971311748,0.673616463,0.098175288,,0.323,0.783463438,0.552643495,0.153441189,0.612800771,0.438950071
Erlang,,5,4,1,3,21,,,2,5,18,4,7
,,24,30,120,40,5.714285714,,,60,24,6.666666667,30,17.14285714
var,,2880,3600,14400,4800,685.7142857,,,7200,2880,800,3600,2057.142857
fitness(optimal cost),,0.528173429,0.487448839,0.495756041,0.835490947,0.648115269,,,0.563263334,0.502323426,0.408486603,0.526105864,0.681038649
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
50w的SSA的Inference结果,,,,,,,,,,,,,
,x1,x2,x3,x4,x5,,,,,,,,
a,0.028860039,0.048700195,0.026491143,0.0282,0.0282,,,,,,,,
b,3.389163865,1.736692215,3.801944636,3.46,3.46,,,,,,,,
Attribute,0.314114505,0.982667341,0.006321783,0.323,0.323,,,,,,,,
Erlang,10,1,29,10,10,,,,,,,,
,12,120,4.137931034,12,12,,,,,,,,
var,1440,14400,496.5517241,1440,1440,,,,,,,,
fitness(mse),8.84E-07,3.97E-07,5.91E-07,9.60E-07,9.60E-07,,,,,,,,
,,,,,,,,,,,,,
定alpha预测两个参数,,,,,,定beta,,,,,,,
x1,x2,x3,x4,x5,,x1,x2,x3,x4,x5,,,
0.0282,0.0282,0.0282,0.0282,0.0282,,0.028620865,0.0282,0.0282,0.028287667,0.028558705,,,
3.46,3.469310217,3.471075297,3.505610536,3.501389211,,3.46,3.46,3.46,3.46,3.46,,,
0.323,0.244975552,0.226499253,0.150307159,0.133450549,,0.176707478,0.323,0.292128023,0.193332173,0.204183973,,,
10,13,14,18,19,,16,10,11,16,15,,,
12,9.230769231,8.571428571,6.666666667,6.315789474,,7.5,12,10.90909091,7.5,8,,,
1440,1107.692308,1028.571429,800,757.8947368,,900,1440,1309.090909,900,960,,,
9.60E-07,5.74E-07,5.42E-07,5.59E-07,6.06E-07,,6.37E-07,9.60E-07,7.39E-07,5.50E-07,6.18E-07,,,