0.0-sqrt(8.0),3.0-sqrt(2.0),,,,
0.128188,0.070896,,,,
0.049252,0.03511,,,,
0.047752,0.036686,,,,
0.046716,0.037084,,,,
0.044762,0.037692,,,,
0.04287,0.037574,,,,
0.040252,0.037268,,,,
0.038382,0.036774,,,,
0.035516,0.03606,,,,
0.033002,0.034424,,,,
0.03178,0.033132,,,,
0.029052,0.031908,,,,
0.02737,0.03079,,,,
0.02447,0.028842,,,,
0.022848,0.027352,,,,
0.021768,0.026466,,,,
0.01966,0.02502,,,,
0.018192,0.023654,,,,
0.017114,0.02228,,,,
0.015822,0.02077,,,,
0.01487,0.019554,,,,
0.013326,0.018612,,,,
0.012776,0.017364,,,,
0.011788,0.016226,,,,
0.0111,0.015186,,,,
0.010316,0.014402,,,,
0.009592,0.013624,,,,
0.008916,0.012764,,,,
0.008694,0.012148,,,,
0.008002,0.011432,,,,
0.007588,0.01061,,,,
0.007336,0.009946,,,,
0.006894,0.009118,,,,
0.006256,0.008568,,,,
0.00603,0.00793,,,,
0.005936,0.008028,,,,
0.00552,0.007218,,,,
0.00524,0.006782,,,,
0.005116,0.006532,,,,
0.004814,0.00588,,,,
0.004618,0.005906,,,,
0.004544,0.005258,,,,
0.004304,0.005146,,,,
0.00397,0.004872,,,,
0.00391,0.00448,,,,
0.003804,0.00426,,,,
0.003528,0.004174,,,,
0.003358,0.003874,,,,
0.00327,0.003558,,,,
0.003106,0.00337,,,,
0.002916,0.003264,,,,
0.002858,0.002968,,,,
0.00271,0.002932,,,,
0.002568,0.002644,,,,
0.002454,0.002474,,,,
0.002342,0.002386,,,,
0.002242,0.002192,,,,
0.002078,0.002116,,,,
0.00216,0.001922,,,,
0.001938,0.001788,,,,
0.001888,0.001746,,,,
0.001862,0.001862,,,,
0.00163,0.001646,,,,
0.001678,0.00154,,,,
0.001502,0.00144,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,